Symbol,Name,Exchange,"1Y Return%","3Y Return%",Last,"20D Rel Str","20D %R"
TLYS,"Tilly's Inc",NYSE,50.93%,61.92%,15.31,60.84%,16.52%
TMQ,"Trilogy Metals Inc",AMEX,112.35%,319.51%,1.78,60.97%,20.00%
TPGE,"Tpg Pace Energy Holdings Corp Class A",NYSE,18.99%,17.80%,11.82,78.92%,5.67%
TPH,"Tri Pointe Homes Inc",NYSE,27.38%,17.89%,17.15,52.80%,20.00%
TPIV,"Tapimmune Inc",NASDAQ,180.97%,28.58%,9.76,57.81%,72.90%
TRNC,"Tronc Inc",NASDAQ,34.98%,12.75%,16.69,42.52%,94.18%
TRST,"Trustco Bank Corp NY",NASDAQ,16.99%,27.13%,9,51.55%,70.00%
TRXC,"Transenterix Inc",AMEX,556.16%,50.16%,4.92,62.54%,44.44%
TSRI,"T S R Inc",NASDAQ,52.21%,105.98%,7.11,60.91%,45.90%
TST,"Thestreet Inc",NASDAQ,172.99%,23.70%,2.47,74.20%,1.59%
TVPT,"Travelport Worldwide Ltd",NYSE,37.17%,43.49%,19.32,59.21%,42.06%
UBCP,"United Bncp Inc",NASDAQ,11.49%,60.74%,13.25,50.26%,53.57%
UBFO,"United Security Bcsh",NASDAQ,15.23%,122.99%,11.35,56.04%,20.00%
UCFC,"United Community Fnl",NASDAQ,29.79%,112.48%,11.36,60.26%,51.88%
ULBI,"Ultralife Corp",NASDAQ,40.56%,153.79%,10.15,56.60%,8.28%
UMC,"United Microelectronics Corp",NYSE,13.17%,42.49%,2.84,51.87%,60.00%
UMRX,"Unum Therapeutics Inc.",NASDAQ,24.30%,24.30%,13.98,51.50%,79.56%
UQM,"Uqm Technologies Inc",AMEX,11.24%,20.73%,1,47.88%,26.67%
USAT,"USA Technologies Inc",NASDAQ,199.00%,341.00%,14.85,63.99%,9.57%
UTSI,"Utstarcom Holdings C",NASDAQ,84.26%,112.83%,3.99,35.92%,68.97%
VALE,"Vale S.A.",NYSE,40.66%,144.92%,13.41,52.08%,6.58%
VCEL,"Vericel Corproation",NASDAQ,232.26%,190.14%,10,43.08%,67.69%
VERI,"Veritone Inc",NASDAQ,58.10%,24.71%,16.63,39.73%,88.34%
VERU,"Veru Inc",NASDAQ,95.45%,52.48%,2.11,54.52%,45.71%
VG,"Vonage Holdings",NYSE,107.24%,168.46%,13.21,62.03%,28.40%
VHI,"Valhi Inc",NYSE,63.90%,16.86%,5.3,44.85%,25.51%
VKTX,"Viking Thera",NASDAQ,796.40%,49.85%,10,53.92%,76.61%
VOC,"Voc Energy Trust",NYSE,34.61%,19.80%,6,63.39%,13.43%
VRA,"Vera Bradley",NASDAQ,46.20%,22.44%,13.79,53.86%,65.37%
VRAY,"Viewray Inc Cm ST",NASDAQ,47.42%,82.80%,9.23,70.15%,10.65%
VTSI,"Virtra Systems Inc",NASDAQ,24.13%,129.95%,5.06,50.88%,27.88%
VUZI,"Vuzix Corp",NASDAQ,20.08%,29.07%,7.95,58.82%,30.30%
VYGR,"Voyager Therapeut",NASDAQ,113.75%,12.11%,18.22,43.20%,86.62%
WEN,"Wendys Company",NASDAQ,12.89%,69.88%,17.77,58.49%,36.23%
WPX,"Wpx Energy Inc",NYSE,92.58%,95.60%,18.77,55.59%,37.41%
WSC,"Willscot Corp",NASDAQ,53.23%,59.59%,15.55,67.97%,12.05%
WTI,"W&T Offshore",NYSE,315.31%,89.30%,8.28,61.68%,22.20%
XCRA,"Xcerra Corp",NASDAQ,44.92%,114.44%,14.36,59.99%,13.33%
XNET,"Xunlei Limited ADR",NASDAQ,269.55%,34.86%,11.95,48.88%,47.78%
XPLR,"Xplore Tech Corp De",NASDAQ,190.29%,13.69%,5.98,89.08%,0.35%
XXII,"22nd Century Group Inc",AMEX,52.80%,215.38%,2.44,49.45%,60.64%
YEXT,"Yext Inc",NYSE,31.37%,38.33%,18.65,55.72%,65.09%
ZAGG,"Zagg Inc",NASDAQ,108.93%,118.01%,17.5,56.98%,67.86%
ZNGA,"Zynga Inc Cl A",NASDAQ,18.08%,62.64%,4.3,55.86%,25.49%
ZOM,"Zomedica Pharmaceuticals Corp",AMEX,34.53%,111.28%,2.12,49.64%,74.14%
ZYME,"Zymeworks Inc",NYSE,82.30%,13.31%,14.3,41.10%,98.13%
"Downloaded from Barchart.com as of 07-18-2018 09:07pm CDT"
